callCommunicationeEMAIL,callCommunicationSMS,expectedEMAIL,expectedSMS,statusEMAIL,statusSMS,callWhatsappSend,expectedSend,statusSend,callWhatsappOptIn,expectedOptIn
"{
    ""from"": {
        ""name"": ""Test"",
        ""email"": ""internetola@acko.com""
    },
    ""to"": [
        {
            ""name"": ""Automation"",
            ""email"": ""{{to_email}}"",
            ""type"": ""TO""
        }
    ],
    ""template"": {
        ""name"": ""mail_survey_cancelled"",
        ""version"": ""0.1"",
        ""context_data"": {
                ""name"": ""person""
        }
    }
}","{
                ""phone_number"": ""{{phone_number}}"",
                ""template"": {
                        ""name"": ""sms_new_claim"",
                        ""version"": ""0.2"",
                        ""context_data"": {
                        }
                }
}",200,200,SENT_TO_PROVIDER,SENT_TO_PROVIDER,"{
    ""phone_number"": ""1231231112"",
    ""template"": {
        ""name"": ""wa_policy_toolkit"",
        ""version"": ""0.1"",
        ""context_data"": {
            ""policy_link"": ""https://acko.com/policy/?pid=x3lDqhFaUo5XGzSyadsklja8lw&source=selfserve""
        }
    }
}",200,SENT_TO_PROVIDER,"{
    ""phone_number"": ""1231231112""
}",200
"{
    ""from"": {
        ""name"": 123,
        ""email"": ""internetola@acko.com""
    },
    ""to"": [
        {
            ""name"": ""Automation"",
            ""email"": ""{{to_email}}"",
            ""type"": ""TO""
        }
    ],
    ""template"": {
        ""name"": ""mail_survey_cancelled"",
        ""version"": ""0.1"",
        ""context_data"": {
                ""name"": ""person""
        }
    }
}","{
                ""phone_number"": ""{{phone_number}}"",
                ""template"": {
                        ""name"": ""sms_new_me"",
                        ""version"": ""0.2"",
                        ""context_data"": {
                        }
                }
}
",200,200,SENT_TO_PROVIDER,FAILED,"{
    ""phone_number"": ""12312312"",
    ""template"": {
        ""name"": ""wa_policy_toolkit"",
        ""version"": ""0.1"",
        ""context_data"": {
            ""policy_link"": ""https://acko.com/policy/?pid=x3lDqhFaUo5XGzSyadsklja8lw&source=selfserve""
        }
    }
}",400,,"{
    ""phone_number"": ""12312312""
}",400
"{
    ""from"": {
        ""name"": ,
        ""email"": ""internetola@acko.com""
    },
    ""to"": [
        {
            ""name"": ""Automation"",
            ""email"": ""{{to_email}}"",
            ""type"": ""TO""
        }
    ],
    ""template"": {
        ""name"": ""mail_survey_cancelled"",
        ""version"": ""0.1"",
        ""context_data"": {
                ""name"": ""person""
        }
    }
}","{
                ""phone_number"": ""{{phone_number}}"",
                ""template"": {
                        ""name"": ,
                        ""version"": ""0.2"",
                        ""context_data"": {
                        }
                }
}
",400,400,,,"{
    ""phone_number"": ""123123111112"",
    ""template"": {
        ""name"": ""wa_policy_toolkit"",
        ""version"": ""0.1"",
        ""context_data"": {
            ""policy_link"": ""https://acko.com/policy/?pid=x3lDqhFaUo5XGzSyadsklja8lw&source=selfserve""
        }
    }
}",400,,"{
    ""phone_number"": ""123123111112""",400
"{
    ""from"": {
        ""name"": ""Test"",
        ""email"": ""internet@ola@acko.in.com""
    },
    ""to"": [
        {
            ""name"": ""Automation"",
            ""email"": ""{{to_email}}"",
            ""type"": ""TO""
        }
    ],
    ""template"": {
        ""name"": ""mail_survey_cancelled"",
        ""version"": ""0.1"",
        ""context_data"": {
                ""name"": ""person""
        }
    }
}","{
                ""phone_number"": ""123123123123"",
                ""template"": {
                        ""name"": ""sms_new_claim"",
                        ""version"": ""0.2"",
                        ""context_data"": {
                        }
                }
}
",400,400,,,"{
    ""phone_number"": ""Ab123#1d12"",
    ""template"": {
        ""name"": ""wa_policy_toolkit"",
        ""version"": ""0.1"",
        ""context_data"": {
            ""policy_link"": ""https://acko.com/policy/?pid=x3lDqhFaUo5XGzSyadsklja8lw&source=selfserve""
        }
    }
}",200,FAILED,"{
    ""phone_number"": ""Ab123#1d12""
}",200
"{
    ""from"": {
        ""name"": ""Test"",
        ""email"": 
    },
    ""to"": [
        {
            ""name"": ""Automation"",
            ""email"": ""{{to_email}}"",
            ""type"": ""TO""
        }
    ],
    ""template"": {
        ""name"": ""mail_survey_cancelled"",
        ""version"": ""0.1"",
        ""context_data"": {
                ""name"": ""person""
        }
    }
}","{
                ""phone_number"": ,
                ""template"": {
                        ""name"": ""sms_new_claim"",
                        ""version"": ""0.2"",
                        ""context_data"": {
                        }
                }
}
",400,400,,,"{
    ""phone_number"": """",
    ""template"": {
        ""name"": ""wa_policy_toolkit"",
        ""version"": ""0.1"",
        ""context_data"": {
            ""policy_link"": ""https://acko.com/policy/?pid=x3lDqhFaUo5XGzSyadsklja8lw&source=selfserve""
        }
    }
}",400,,"{
    ""phone_number"": """"
}",400
"{
    ""from"": {
        ""name"": ""Test"",
        ""email"": 
    },
    ""to"": [
        {
            ""name"": ""Automation1"",
            ""email"": ""{{to_email}}"",
            ""type"": ""TO""
        },
        {
            ""name"": ""Automation2"",
            ""email"": ""{{to_email}}"",
            ""type"": ""BCC""
        },
        {
            ""name"": ""Automation3"",
            ""email"": ""{{to_email}}"",
            ""type"": ""CC""
        }
    ],
    ""template"": {
        ""name"": ""mail_survey_cancelled"",
        ""version"": ""0.1"",
        ""context_data"": {
                ""name"": ""person""
        }
    }
}","{
                ""phone_number"": ""{{phone_number}}"",
                ""template"": {
                        ""name"": ""sms_new_claim"",
                        ""context_data"": {
                        }
                }
}
",400,200,,-,"{
    ""phone_number"": ""1231231231"",
    ""template"": {
        ""name"": ""what_a_helloacko"",
        ""version"": ""0.1"",
        ""context_data"": {
            ""policy_link"": ""https://acko.com/policy/?pid=x3lDqhFaUo5XGzSyadsklja8lw&source=selfserve""
        }
    }
}",200,FAILED,,
"{
    ""from"": {
        ""name"": ""Test"",
        ""email"": 
    },
    ""to"": [
        {
            ""name"": ""Automation1"",
            ""email"": ""{{to_email}}"",
            ""type"": ""TO""
        },
        {
            ""name"": ""Automation2"",
            ""email"": ""{{to_email}}"",
            ""type"": ""TO""
        }
    ],
    ""template"": {
        ""name"": ""mail_survey_cancelled"",
        ""version"": ""0.1"",
        ""context_data"": {
                ""name"": ""person""
        }
    }
}","{
                ""phone_number"": ""{{phone_number}}"",
                ""template"": {
                        ""name"": ""sms_new_claim"",
                        ""version"": ""0.100"",
                        ""context_data"": {
                        }
                }
}
",400,200,,FAILED,"{
    ""phone_number"": ""1231231231"",
    ""template"": {
        ""name"": """",
        ""version"": ""0.1"",
        ""context_data"": {
            ""policy_link"": ""https://acko.com/policy/?pid=x3lDqhFaUo5XGzSyadsklja8lw&source=selfserve""
        }
    }
}",400,,,
"{
    ""from"": {
        ""name"": ""Test"",
        ""email"": ""internetola@acko.com""
    },
    ""to"": [
        {
            ""name"": 1238,
            ""email"": ""{{to_email}}"",
            ""type"": ""TO""
        }
    ],
    ""template"": {
        ""name"": ""mail_survey_cancelled"",
        ""version"": ""0.1"",
        ""context_data"": {
                ""name"": ""person""
        }
    }
}","{
                ""phone_number"": ""{{phone_number}}"",
                ""template"": {
                        ""name"": ""sms_new_claim"",
                        ""version"": ""0.1"",
                        ""context_data"": {
                        }
                }
}
",200,200,SENT_TO_PROVIDER,FAILED,"{
    ""phone_number"": ""1231231231"",
    ""template"": {
        ""name"": ""wa_policy_toolkit"",
        ""version"": ""1.1"",
        ""context_data"": {
            ""policy_link"": ""https://acko.com/policy/?pid=x3lDqhFaUo5XGzSyadsklja8lw&source=selfserve""
        }
    }
}",200,FAILED,,
"{
    ""from"": {
        ""name"": ""Test"",
        ""email"": ""internetola@acko.com""
    },
    ""to"": [
        {
            ""name"": ,
            ""email"": ""{{to_email}}"",
            ""type"": ""TO""
        }
    ],
    ""template"": {
        ""name"": ""mail_survey_cancelled"",
        ""version"": ""0.1"",
        ""context_data"": {
                ""name"": ""person""
        }
    }
}","{
                ""phone_number"": ""{{phone_number}}"",
                ""template"": {
                        ""name"": ""sms_new_claim"",
                        ""version"": ""0.2""
                }
}",400,400,,,"{
    ""phone_number"": ""1231231231"",
    ""template"": {
        ""name"": ""wa_policy_toolkit"",
        ""version"": """",
        ""context_data"": {
            ""policy_link"": ""https://acko.com/policy/?pid=x3lDqhFaUo5XGzSyadsklja8lw&source=selfserve""
        }
    }
}",200,FAILED,,
"{
    ""from"": {
        ""name"": ""Test"",
        ""email"": ""internetola@acko.com""
    },
    ""to"": [
        {
            ""name"": ""Automation"",
            ""email"": ""internet@ola@acko.in#me"",
            ""type"": ""TO""
        }
    ],
    ""template"": {
        ""name"": ""mail_survey_cancelled"",
        ""version"": ""0.1"",
        ""context_data"": {
                ""name"": ""person""
        }
    }
}",,400,,,,"{
    ""phone_number"": ""1231231231"",
    ""template"": {
        ""name"": ""wa_policy_toolkit"",
        ""context_data"": {
            ""policy_link"": ""https://acko.com/policy/?pid=x3lDqhFaUo5XGzSyadsklja8lw&source=selfserve""
        }
    }
}",200,FAILED,,
